Song,File_Type,Difficulty,Total_Notes,4th_%,8th_%,12th_%,16th_%,24th_%,32nd_%,64th_%,Other_%,Density_Label
ÉxÉCÉrÅ[ÉÅÉCÉrÅ[.sm,.sm,Hard,648,34.6,35.2,0.0,29.9,0.0,0.2,0.2,0.0,Hard
ÉxÉCÉrÅ[ÉÅÉCÉrÅ[.sm,.sm,Challenge,980,25.9,25.6,1.4,45.4,1.4,0.1,0.1,0.0,Challenging
hpt.sm,.sm,Hard,527,46.5,41.2,0.0,12.3,0.0,0.0,0.0,0.0,Hard
hpt.sm,.sm,Challenge,765,38.0,35.6,0.0,26.4,0.0,0.0,0.0,0.0,Hard
hpt.sm,.sm,Beginner,792,37.2,34.8,0.0,27.9,0.0,0.0,0.0,0.0,Hard
yu-topia.sm,.sm,Medium,584,41.3,38.0,1.4,19.3,0.0,0.0,0.0,0.0,Hard
yu-topia.sm,.sm,Hard,629,38.3,36.6,1.3,23.8,0.0,0.0,0.0,0.0,Hard
yu-topia.sm,.sm,Challenge,668,36.4,34.7,1.2,27.4,0.1,0.1,0.0,0.0,Hard
basic.sm,.sm,Medium,360,41.1,48.1,4.4,6.4,0.0,0.0,0.0,0.0,Easy
basic.sm,.sm,Hard,557,33.4,39.5,5.7,15.6,5.7,0.0,0.0,0.0,Challenging
basic.sm,.sm,Challenge,771,30.1,32.6,6.5,24.4,6.5,0.0,0.0,0.0,Challenging
Love flower.sm,.sm,Medium,290,63.1,36.6,0.0,0.3,0.0,0.0,0.0,0.0,Easy
Love flower.sm,.sm,Hard,342,60.8,37.4,0.0,1.8,0.0,0.0,0.0,0.0,Easy
Love flower.sm,.sm,Challenge,413,50.6,41.2,0.0,7.3,0.0,1.0,0.0,0.0,Hard
óˆÇµÇƒãRém.sm,.sm,Challenge,512,40.2,36.7,3.7,17.2,1.4,0.8,0.0,0.0,Hard
óˆÇµÇƒãRém.sm,.sm,Hard,349,51.3,43.0,1.7,3.4,0.6,0.0,0.0,0.0,Hard
hitsugi.sm,.sm,Challenge,940,35.6,9.0,32.1,1.7,18.1,0.0,0.0,3.4,Challenging
hitsugi.sm,.sm,Beginner,1948,18.6,13.9,29.9,3.2,27.6,0.2,0.5,6.1,Challenging
LoveHarlemGame.sm,.sm,Medium,511,60.3,35.8,1.4,1.4,1.2,0.0,0.0,0.0,Hard
LoveHarlemGame.sm,.sm,Hard,581,55.1,39.2,2.2,2.1,1.4,0.0,0.0,0.0,Hard
LoveHarlemGame.sm,.sm,Challenge,726,46.0,40.5,1.8,9.0,1.1,0.8,0.8,0.0,Hard
ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫.sm,.sm,Medium,569,48.3,43.4,0.0,8.3,0.0,0.0,0.0,0.0,Easy
ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫.sm,.sm,Hard,827,39.7,36.2,0.4,23.5,0.0,0.0,0.4,0.0,Hard
ä™éqÇÃÉpÅ[ÉtÉFÉNÉgÉGÉåÉKÉìÉgã≥é∫.sm,.sm,Challenge,1195,29.0,27.4,6.4,21.1,6.0,9.1,0.3,0.8,Challenging
welcomeÅôberry's.sm,.sm,Medium,296,71.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,Easy
welcomeÅôberry's.sm,.sm,Hard,351,61.3,38.5,0.0,0.3,0.0,0.0,0.0,0.0,Easy
welcomeÅôberry's.sm,.sm,Challenge,457,51.6,46.4,0.0,2.0,0.0,0.0,0.0,0.0,Easy
kyoukiA.sm,.sm,Medium,772,32.9,33.5,0.1,23.3,0.1,7.5,2.2,0.3,Challenging
kyoukiA.sm,.sm,Challenge,1317,20.7,20.8,5.4,22.9,5.4,8.0,5.9,10.8,Challenging
Tuk Tuk Boshi.sm,.sm,Medium,784,36.5,31.5,0.0,31.8,0.0,0.0,0.3,0.0,Challenging
Tuk Tuk Boshi.sm,.sm,Hard,1034,29.7,26.7,0.0,43.4,0.0,0.0,0.2,0.0,Challenging
Tuk Tuk Boshi.sm,.sm,Challenge,1079,28.8,26.0,0.0,44.2,0.0,0.7,0.2,0.0,Challenging
Tuk Tuk Boshi.sm,.sm,Beginner,1124,28.2,25.5,0.0,44.8,0.0,1.2,0.2,0.0,Challenging
é‹îM.sm,.sm,Medium,529,46.7,29.7,1.9,21.7,0.0,0.0,0.0,0.0,Hard
é‹îM.sm,.sm,Hard,888,30.9,31.6,2.0,34.9,0.6,0.0,0.0,0.0,Challenging
é‹îM.sm,.sm,Edit,998,28.6,29.3,2.3,39.1,0.6,0.2,0.0,0.0,Challenging
é‹îM.sm,.sm,Challenge,888,30.9,31.6,2.0,34.9,0.6,0.0,0.0,0.0,Challenging
Plasma Strike.sm,.sm,Medium,695,28.6,26.6,0.3,43.6,0.9,0.0,0.0,0.0,Challenging
Plasma Strike.sm,.sm,Hard,1216,26.9,26.2,0.2,46.6,0.2,0.0,0.0,0.0,Challenging
Plasma Strike.sm,.sm,Challenge,1383,25.2,25.0,0.1,49.2,0.1,0.3,0.0,0.0,Challenging
Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑.sm,.sm,Medium,297,47.5,51.2,0.0,1.3,0.0,0.0,0.0,0.0,Easy
Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑.sm,.sm,Hard,420,42.9,42.9,0.0,14.3,0.0,0.0,0.0,0.0,Hard
Ç”ÇÍÇ†ÅôÇ±ÇÒÇ’ÇÍÇ¡Ç≠Ç∑.sm,.sm,Challenge,572,33.9,34.4,0.0,31.6,0.0,0.0,0.0,0.0,Challenging
colorful precious life.sm,.sm,Hard,451,45.7,52.1,0.0,2.2,0.0,0.0,0.0,0.0,Easy
colorful precious life.sm,.sm,Challenge,536,42.2,46.3,0.0,11.6,0.0,0.0,0.0,0.0,Hard
yu-topiaEx.sm,.sm,Challenge,1923,31.7,30.7,0.9,32.0,0.5,4.3,0.0,0.0,Challenging
yu-topiaEx.sm,.sm,Hard,1885,32.3,31.3,1.0,32.6,0.5,2.3,0.0,0.0,Challenging
Melty Air.sm,.sm,Challenge,923,26.5,23.7,1.2,41.9,1.2,3.9,0.0,1.5,Challenging
Melty Air.sm,.sm,Hard,899,27.3,24.4,0.8,43.3,0.8,3.6,0.0,0.0,Challenging
Russian Caravan Rhapsody.sm,.sm,Medium,415,49.6,41.0,0.0,9.4,0.0,0.0,0.0,0.0,Easy
Russian Caravan Rhapsody.sm,.sm,Hard,567,41.4,40.2,0.0,18.3,0.0,0.0,0.0,0.0,Hard
Russian Caravan Rhapsody.sm,.sm,Challenge,922,29.4,29.1,2.4,36.7,2.5,0.0,0.0,0.0,Challenging
åNÇ©ÇÁénÇ‹ÇÈäÔê’.sm,.sm,Challenge,802,31.2,30.3,10.5,17.1,10.5,0.0,0.0,0.5,Challenging
åNÇ©ÇÁénÇ‹ÇÈäÔê’.sm,.sm,Medium,395,49.6,47.8,0.0,2.5,0.0,0.0,0.0,0.0,Easy
åNÇ©ÇÁénÇ‹ÇÈäÔê’.sm,.sm,Hard,597,37.7,35.7,1.3,24.0,1.3,0.0,0.0,0.0,Hard
ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’.sm,.sm,Hard,731,30.2,32.7,0.0,37.1,0.0,0.0,0.0,0.0,Challenging
ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’.sm,.sm,Challenge,805,28.8,30.2,0.0,41.0,0.0,0.0,0.0,0.0,Challenging
ÇËÇ∆ÇÈÇ‹Ç¢Ç∑ÇƒÇ¡Ç’.sm,.sm,Medium,486,40.1,40.3,0.0,19.5,0.0,0.0,0.0,0.0,Hard
‡aÅXÇΩÇÈçïâåÇÕçÁÇ´.sm,.sm,Challenge,584,32.7,24.7,13.0,18.7,10.1,0.3,0.5,0.0,Challenging
‡aÅXÇΩÇÈçïâåÇÕçÁÇ´.sm,.sm,Hard,303,39.9,28.1,5.6,25.7,0.3,0.3,0.0,0.0,Hard
É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!).sm,.sm,Medium,428,58.6,41.4,0.0,0.0,0.0,0.0,0.0,0.0,Easy
É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!).sm,.sm,Hard,521,49.1,34.9,0.0,15.9,0.0,0.0,0.0,0.0,Hard
É~ÉTÉRÇÃì˙ãL (å©ÇøÇ·É_ÉÅ!).sm,.sm,Challenge,736,42.4,35.6,0.0,22.0,0.0,0.0,0.0,0.0,Hard
Soul On Fire.sm,.sm,Medium,392,87.8,12.2,0.0,0.0,0.0,0.0,0.0,0.0,Easy
